Date,Source,Value
1/1/2005,DSC,1.51E-07
2/1/2005,DSC,5.75E-08
3/1/2005,DSC,3.15E-08
4/1/2005,DSC,4.03E-08
5/1/2005,DSC,6.17E-08
6/1/2005,DSC,5.09E-08
7/1/2005,DSC,3.44E-08
8/1/2005,DSC,2.56E-08
9/1/2005,DSC,3.39E-08
10/1/2005,DSC,3.98E-08
11/1/2005,DSC,3.40E-08
12/1/2005,DSC,2.81E-08
1/1/2006,DSC,4.05E-08
2/1/2006,DSC,3.42E-08
3/1/2006,DSC,9.57E-08
4/1/2006,DSC,3.94E-08
5/1/2006,DSC,3.05E-08
6/1/2006,DSC,5.42E-08
7/1/2006,DSC,4.69E-08
8/1/2006,DSC,2.13E-08
9/1/2006,DSC,2.40E-08
10/1/2006,DSC,3.37E-08
11/1/2006,DSC,3.55E-08
12/1/2006,DSC,6.10E-08
1/1/2007,DSC,1.53E-07
2/1/2007,DSC,7.86E-08
3/1/2007,DSC,9.26E-08
4/1/2007,DSC,3.16E-08
5/1/2007,DSC,8.04E-08
6/1/2007,DSC,5.04E-08
7/1/2007,DSC,4.25E-08
8/1/2007,DSC,2.26E-08
9/1/2007,DSC,2.62E-08
10/1/2007,DSC,2.59E-08
11/1/2007,DSC,5.25E-08
12/1/2007,DSC,4.55E-08
1/1/2008,DSC,9.28E-08
2/1/2008,DSC,6.47E-08
3/1/2008,DSC,5.64E-08
4/1/2008,DSC,5.62E-08
5/1/2008,DSC,3.80E-08
6/1/2008,DSC,4.74E-08
7/1/2008,DSC,2.84E-08
8/1/2008,DSC,2.49E-08
9/1/2008,DSC,2.27E-08
10/1/2008,DSC,4.51E-08
11/1/2008,DSC,4.84E-08
12/1/2008,DSC,5.85E-08
1/1/2009,DSC,5.67E-08
2/1/2009,DSC,3.52E-08
3/1/2009,DSC,3.03E-08
4/1/2009,DSC,3.15E-08
5/1/2009,DSC,4.51E-08
6/1/2009,DSC,5.77E-08
7/1/2009,DSC,3.71E-08
8/1/2009,DSC,1.99E-08
9/1/2009,DSC,2.69E-08
10/1/2009,DSC,2.49E-08
11/1/2009,DSC,5.83E-08
12/1/2009,DSC,2.45E-08
1/1/2010,DSC,6.50E-08
2/1/2010,DSC,3.35E-08
3/1/2010,DSC,8.41E-08
4/1/2010,DSC,4.82E-08
5/1/2010,DSC,6.37E-08
6/1/2010,DSC,5.80E-08
7/1/2010,DSC,4.28E-08
8/1/2010,DSC,2.10E-08
9/1/2010,DSC,1.53E-08
10/1/2010,DSC,2.89E-08
11/1/2010,DSC,3.58E-08
12/1/2010,DSC,1.03E-08
1/1/2011,DSC,5.01E-08
2/1/2011,DSC,6.73E-08
3/1/2011,DSC,3.78E-08
4/1/2011,DSC,3.92E-08
5/1/2011,DSC,4.25E-08
6/1/2011,DSC,3.44E-08
7/1/2011,DSC,3.16E-08
8/1/2011,DSC,2.66E-08
9/1/2011,DSC,1.91E-08
10/1/2011,DSC,4.28E-08
11/1/2011,DSC,2.83E-08
12/1/2011,DSC,1.01E-07
1/1/2012,DSC,1.15E-07
2/1/2012,DSC,1.33E-07
3/1/2012,DSC,1.30E-07
4/1/2012,DSC,3.86E-08
5/1/2012,DSC,8.16E-08
6/1/2012,DSC,5.17E-08
7/1/2012,DSC,2.85E-08
8/1/2012,DSC,1.80E-08
9/1/2012,DSC,1.94E-08
10/1/2012,DSC,2.45E-08
11/1/2012,DSC,1.29E-08
12/1/2012,DSC,5.18E-08
1/1/2013,DSC,8.70E-08
2/1/2013,DSC,7.51E-08
3/1/2013,DSC,1.59E-08
4/1/2013,DSC,2.61E-08
5/1/2013,DSC,3.62E-08
6/1/2013,DSC,5.46E-08
7/1/2013,DSC,2.93E-08
8/1/2013,DSC,2.50E-08
9/1/2013,DSC,2.86E-08
10/1/2013,DSC,2.81E-08
11/1/2013,DSC,2.48E-08
12/1/2013,DSC,7.57E-08
1/1/2014,DSC,5.04E-08
2/1/2014,DSC,7.40E-08
3/1/2014,DSC,7.01E-08
4/1/2014,DSC,2.63E-08
5/1/2014,DSC,3.57E-08
6/1/2014,DSC,6.30E-08
7/1/2014,DSC,2.61E-08
8/1/2014,DSC,2.06E-08
9/1/2014,DSC,2.41E-08
10/1/2014,DSC,3.25E-08
11/1/2014,DSC,2.40E-08
12/1/2014,DSC,9.77E-08
1/1/2015,DSC,1.42E-07
2/1/2015,DSC,4.85E-08
3/1/2015,DSC,1.07E-07
4/1/2015,DSC,6.22E-08
5/1/2015,DSC,5.49E-08
6/1/2015,DSC,7.63E-08
7/1/2015,DSC,3.02E-08
8/1/2015,DSC,2.16E-08
9/1/2015,DSC,2.22E-08
10/1/2015,DSC,3.31E-08
11/1/2015,DSC,5.39E-08
12/1/2015,DSC,1.28E-07
1/1/2016,DSC,9.26E-08
2/1/2016,DSC,1.30E-07
3/1/2016,DSC,5.98E-08
4/1/2016,DSC,2.69E-08
5/1/2016,DSC,3.01E-08
6/1/2016,DSC,4.89E-08
7/1/2016,DSC,3.18E-08
8/1/2016,DSC,3.04E-08
9/1/2016,DSC,2.81E-08
10/1/2016,DSC,3.16E-08
11/1/2016,DSC,3.71E-08
12/1/2016,DSC,1.06E-07
1/1/2017,DSC,6.47E-08
2/1/2017,DSC,7.44E-08
3/1/2017,DSC,5.84E-08
4/1/2017,DSC,6.23E-08
5/1/2017,DSC,5.25E-08
6/1/2017,DSC,4.28E-08
7/1/2017,DSC,3.54E-08
8/1/2017,DSC,2.25E-08
9/1/2017,DSC,2.95E-08
10/1/2017,DSC,8.74E-08
11/1/2017,DSC,6.06E-08
12/1/2017,DSC,1.57E-07
1/1/2018,DSC,1.46E-07
2/1/2018,DSC,4.35E-08
3/1/2018,DSC,7.64E-08
4/1/2018,DSC,4.88E-08
5/1/2018,DSC,3.05E-08
6/1/2018,DSC,8.58E-08
7/1/2018,DSC,6.10E-08
8/1/2018,DSC,2.79E-08
9/1/2018,DSC,4.33E-08
10/1/2018,DSC,5.22E-08
11/1/2018,DSC,2.90E-08
12/1/2018,DSC,8.45E-08
1/1/2019,DSC,6.48E-08
2/1/2019,DSC,1.43E-07
3/1/2019,DSC,1.40E-07
4/1/2019,DSC,2.59E-08
5/1/2019,DSC,2.09E-08
6/1/2019,DSC,4.65E-08
7/1/2019,DSC,3.15E-08
8/1/2019,DSC,1.71E-08
9/1/2019,DSC,2.98E-08
10/1/2019,DSC,5.55E-08
11/1/2019,DSC,5.11E-08
12/1/2019,DSC,7.70E-08
1/1/2020,DSC,1.78E-07
2/1/2020,DSC,1.16E-07
3/1/2020,DSC,6.29E-08
4/1/2020,DSC,3.17E-08
5/1/2020,DSC,3.60E-08
6/1/2020,DSC,9.55E-08
7/1/2020,DSC,4.53E-08
8/1/2020,DSC,2.08E-08
9/1/2020,DSC,2.22E-08
10/1/2020,DSC,4.71E-08
11/1/2020,DSC,4.71E-08
12/1/2020,DSC,3.14E-08
1/1/2021,DSC,8.50E-08
2/1/2021,DSC,1.52E-07
3/1/2021,DSC,6.61E-08
4/1/2021,DSC,3.80E-08
5/1/2021,DSC,4.51E-08
6/1/2021,DSC,6.76E-08
7/1/2021,DSC,3.50E-08
8/1/2021,DSC,2.68E-08
9/1/2021,DSC,4.04E-08
10/1/2021,DSC,6.24E-08
11/1/2021,DSC,3.24E-08
12/1/2021,DSC,8.73E-08
1/1/2022,DSC,5.39E-08
2/1/2022,DSC,1.09E-07
3/1/2022,DSC,8.13E-08
4/1/2022,DSC,4.05E-08
5/1/2022,DSC,5.54E-08
6/1/2022,DSC,8.05E-08
7/1/2022,DSC,3.37E-08
8/1/2022,DSC,1.95E-08
9/1/2022,DSC,2.63E-08
10/1/2022,DSC,4.69E-08
11/1/2022,DSC,5.86E-08
12/1/2022,DSC,4.93E-08
