Date,Chlorophyll,Source
1/1/2005,0.17458275,Chlorophyll
2/1/2005,0.15003759,Chlorophyll
3/1/2005,0.116102055,Chlorophyll
4/1/2005,0.103017166,Chlorophyll
5/1/2005,0.09870502,Chlorophyll
6/1/2005,0.100266196,Chlorophyll
7/1/2005,0.106715776,Chlorophyll
8/1/2005,0.12622036,Chlorophyll
9/1/2005,0.13530734,Chlorophyll
10/1/2005,0.16163659,Chlorophyll
11/1/2005,0.17192988,Chlorophyll
12/1/2005,0.18884012,Chlorophyll
1/1/2006,0.18461822,Chlorophyll
2/1/2006,0.1527868,Chlorophyll
3/1/2006,0.11547966,Chlorophyll
4/1/2006,0.118164204,Chlorophyll
5/1/2006,0.10584712,Chlorophyll
6/1/2006,0.10515907,Chlorophyll
7/1/2006,0.10226543,Chlorophyll
8/1/2006,0.11575841,Chlorophyll
9/1/2006,0.12514761,Chlorophyll
10/1/2006,0.15341797,Chlorophyll
11/1/2006,0.1679884,Chlorophyll
12/1/2006,0.17522496,Chlorophyll
1/1/2007,0.1480452,Chlorophyll
2/1/2007,0.1336752,Chlorophyll
3/1/2007,0.11352022,Chlorophyll
4/1/2007,0.10856165,Chlorophyll
5/1/2007,0.104858786,Chlorophyll
6/1/2007,0.10235548,Chlorophyll
7/1/2007,0.11399727,Chlorophyll
8/1/2007,0.12062398,Chlorophyll
9/1/2007,0.13362911,Chlorophyll
10/1/2007,0.16431315,Chlorophyll
11/1/2007,0.18492666,Chlorophyll
12/1/2007,0.17828,Chlorophyll
1/1/2008,0.16959724,Chlorophyll
2/1/2008,0.10504849,Chlorophyll
3/1/2008,0.11862152,Chlorophyll
4/1/2008,0.099703185,Chlorophyll
5/1/2008,0.10172034,Chlorophyll
6/1/2008,0.09253615,Chlorophyll
7/1/2008,0.09411608,Chlorophyll
8/1/2008,0.12058933,Chlorophyll
9/1/2008,0.11849555,Chlorophyll
10/1/2008,0.1411156,Chlorophyll
11/1/2008,0.14136209,Chlorophyll
12/1/2008,0.16332266,Chlorophyll
1/1/2009,0.16827245,Chlorophyll
2/1/2009,0.12030447,Chlorophyll
3/1/2009,0.109681375,Chlorophyll
4/1/2009,0.113793254,Chlorophyll
5/1/2009,0.09466064,Chlorophyll
6/1/2009,0.10834671,Chlorophyll
7/1/2009,0.09691092,Chlorophyll
8/1/2009,0.14741562,Chlorophyll
9/1/2009,0.17264238,Chlorophyll
10/1/2009,0.14157867,Chlorophyll
11/1/2009,0.15203875,Chlorophyll
12/1/2009,0.1603287,Chlorophyll
1/1/2010,0.13880791,Chlorophyll
2/1/2010,0.1287718,Chlorophyll
3/1/2010,0.097831756,Chlorophyll
4/1/2010,0.09854543,Chlorophyll
5/1/2010,0.09936016,Chlorophyll
6/1/2010,0.103422396,Chlorophyll
7/1/2010,0.12432778,Chlorophyll
8/1/2010,0.11475905,Chlorophyll
9/1/2010,0.115790896,Chlorophyll
10/1/2010,0.14672841,Chlorophyll
11/1/2010,0.16158609,Chlorophyll
12/1/2010,0.15398832,Chlorophyll
1/1/2011,0.15388964,Chlorophyll
2/1/2011,0.1296466,Chlorophyll
3/1/2011,0.10208817,Chlorophyll
4/1/2011,0.104485035,Chlorophyll
5/1/2011,0.09354323,Chlorophyll
6/1/2011,0.09520998,Chlorophyll
7/1/2011,0.12668405,Chlorophyll
8/1/2011,0.12333664,Chlorophyll
9/1/2011,0.12689488,Chlorophyll
10/1/2011,0.15387389,Chlorophyll
11/1/2011,0.16777472,Chlorophyll
12/1/2011,0.20394835,Chlorophyll
1/1/2012,0.17248835,Chlorophyll
2/1/2012,0.13578384,Chlorophyll
3/1/2012,0.114009164,Chlorophyll
4/1/2012,0.13228038,Chlorophyll
5/1/2012,0.10465398,Chlorophyll
6/1/2012,0.10319323,Chlorophyll
7/1/2012,0.11651921,Chlorophyll
8/1/2012,0.11367456,Chlorophyll
9/1/2012,0.13875219,Chlorophyll
10/1/2012,0.14258863,Chlorophyll
11/1/2012,0.16722013,Chlorophyll
12/1/2012,0.1745517,Chlorophyll
1/1/2013,0.1559174,Chlorophyll
2/1/2013,0.13187326,Chlorophyll
3/1/2013,0.11691445,Chlorophyll
4/1/2013,0.1048695,Chlorophyll
5/1/2013,0.108707726,Chlorophyll
6/1/2013,0.107093066,Chlorophyll
7/1/2013,0.113870926,Chlorophyll
8/1/2013,0.12351998,Chlorophyll
9/1/2013,0.1459264,Chlorophyll
10/1/2013,0.1382345,Chlorophyll
11/1/2013,0.15032275,Chlorophyll
12/1/2013,0.1554957,Chlorophyll
1/1/2014,0.18248536,Chlorophyll
2/1/2014,0.12549952,Chlorophyll
3/1/2014,0.103794575,Chlorophyll
4/1/2014,0.102081984,Chlorophyll
5/1/2014,0.114324816,Chlorophyll
6/1/2014,0.10713944,Chlorophyll
7/1/2014,0.10947085,Chlorophyll
8/1/2014,0.110797584,Chlorophyll
9/1/2014,0.14017703,Chlorophyll
10/1/2014,0.14200656,Chlorophyll
11/1/2014,0.14021724,Chlorophyll
12/1/2014,0.18409972,Chlorophyll
1/1/2015,0.15954159,Chlorophyll
2/1/2015,0.14351784,Chlorophyll
3/1/2015,0.13503927,Chlorophyll
4/1/2015,0.1536943,Chlorophyll
5/1/2015,0.14287671,Chlorophyll
6/1/2015,0.11378485,Chlorophyll
7/1/2015,0.12121237,Chlorophyll
8/1/2015,0.13822494,Chlorophyll
9/1/2015,0.122278586,Chlorophyll
10/1/2015,0.16755287,Chlorophyll
11/1/2015,0.20077531,Chlorophyll
12/1/2015,0.19488078,Chlorophyll
1/1/2016,0.21038507,Chlorophyll
2/1/2016,0.14841746,Chlorophyll
3/1/2016,0.13803464,Chlorophyll
4/1/2016,0.12640652,Chlorophyll
5/1/2016,0.12506431,Chlorophyll
6/1/2016,0.11360347,Chlorophyll
7/1/2016,0.1272121,Chlorophyll
8/1/2016,0.13598387,Chlorophyll
9/1/2016,0.16647846,Chlorophyll
10/1/2016,0.34478587,Chlorophyll
11/1/2016,0.24909042,Chlorophyll
12/1/2016,0.19173898,Chlorophyll
1/1/2017,0.24265994,Chlorophyll
2/1/2017,0.21050811,Chlorophyll
3/1/2017,0.17429067,Chlorophyll
4/1/2017,0.12015131,Chlorophyll
5/1/2017,0.11022673,Chlorophyll
6/1/2017,0.11511996,Chlorophyll
7/1/2017,0.12522964,Chlorophyll
8/1/2017,0.1275635,Chlorophyll
9/1/2017,0.15554322,Chlorophyll
10/1/2017,0.14792329,Chlorophyll
11/1/2017,0.16983114,Chlorophyll
12/1/2017,0.18959528,Chlorophyll
1/1/2018,0.1555479,Chlorophyll
2/1/2018,0.13981108,Chlorophyll
3/1/2018,0.12722944,Chlorophyll
4/1/2018,0.12945652,Chlorophyll
5/1/2018,0.11565618,Chlorophyll
6/1/2018,0.12054555,Chlorophyll
7/1/2018,0.100464106,Chlorophyll
8/1/2018,0.12684354,Chlorophyll
9/1/2018,0.14829822,Chlorophyll
10/1/2018,0.15265542,Chlorophyll
11/1/2018,0.17538384,Chlorophyll
12/1/2018,0.18712305,Chlorophyll
1/1/2019,0.17557621,Chlorophyll
2/1/2019,0.12423203,Chlorophyll
3/1/2019,0.13729873,Chlorophyll
4/1/2019,0.117110945,Chlorophyll
5/1/2019,0.12495291,Chlorophyll
6/1/2019,0.114214905,Chlorophyll
7/1/2019,0.10914341,Chlorophyll
8/1/2019,0.12448595,Chlorophyll
9/1/2019,0.14186111,Chlorophyll
10/1/2019,0.17513771,Chlorophyll
11/1/2019,0.17760143,Chlorophyll
12/1/2019,0.20340404,Chlorophyll
1/1/2020,0.20189948,Chlorophyll
2/1/2020,0.13753419,Chlorophyll
3/1/2020,0.12457721,Chlorophyll
4/1/2020,0.12583344,Chlorophyll
5/1/2020,0.118646614,Chlorophyll
6/1/2020,0.11675222,Chlorophyll
7/1/2020,0.10577579,Chlorophyll
8/1/2020,0.15372142,Chlorophyll
9/1/2020,0.15393159,Chlorophyll
10/1/2020,0.16695562,Chlorophyll
11/1/2020,0.18753266,Chlorophyll
12/1/2020,0.19194022,Chlorophyll
1/1/2021,0.18744242,Chlorophyll
2/1/2021,0.16219485,Chlorophyll
3/1/2021,0.13974525,Chlorophyll
4/1/2021,0.12671286,Chlorophyll
5/1/2021,0.12765701,Chlorophyll
6/1/2021,0.12893789,Chlorophyll
7/1/2021,0.123849,Chlorophyll
8/1/2021,0.14351854,Chlorophyll
9/1/2021,0.15639791,Chlorophyll
10/1/2021,0.16076902,Chlorophyll
11/1/2021,0.21904004,Chlorophyll
12/1/2021,0.17672794,Chlorophyll
1/1/2022,0.18412116,Chlorophyll
2/1/2022,0.17361526,Chlorophyll
3/1/2022,0.15164384,Chlorophyll
4/1/2022,0.12691727,Chlorophyll
5/1/2022,0.118974075,Chlorophyll
6/1/2022,0.11550581,Chlorophyll
7/1/2022,0.105050325,Chlorophyll
8/1/2022,0.12860261,Chlorophyll
9/1/2022,0.13801807,Chlorophyll
10/1/2022,0.18159083,Chlorophyll
11/1/2022,0.15657216,Chlorophyll
12/1/2022,0.1469062,Chlorophyll
