Date,SVI %,LST
2020-01-31,00-05% SVI,290.8770426188134
2020-01-31,05-10% SVI,291.4425317819845
2020-01-31,10-15% SVI,291.68399856958007
2020-01-31,15-20% SVI,291.7359720792331
2020-01-31,> 20% SVI,291.7052317635049
2020-02-29,00-05% SVI,293.3622498615393
2020-02-29,05-10% SVI,293.789747002535
2020-02-29,10-15% SVI,293.9758692490555
2020-02-29,15-20% SVI,293.8434766649365
2020-02-29,> 20% SVI,293.9755813803491
2020-03-31,00-05% SVI,301.22359504484484
2020-03-31,05-10% SVI,301.9938945889609
2020-03-31,10-15% SVI,302.28921202988727
2020-03-31,15-20% SVI,302.3309853205668
2020-03-31,> 20% SVI,302.28529856391833
2020-04-30,00-05% SVI,303.8984351253588
2020-04-30,05-10% SVI,304.4597637234319
2020-04-30,10-15% SVI,304.7697367590714
2020-04-30,15-20% SVI,304.7316052867013
2020-04-30,> 20% SVI,304.848931000246
2020-05-31,00-05% SVI,307.9268355319763
2020-05-31,05-10% SVI,308.4063962209086
2020-05-31,10-15% SVI,308.6550602265533
2020-05-31,15-20% SVI,308.6826458626148
2020-05-31,> 20% SVI,308.8312570875848
2020-06-30,00-05% SVI,310.5538644346982
2020-06-30,05-10% SVI,311.1299654103551
2020-06-30,10-15% SVI,311.39522290976475
2020-06-30,15-20% SVI,311.272545192692
2020-06-30,> 20% SVI,311.3963814302087
2020-07-31,00-05% SVI,310.0388848468385
2020-07-31,05-10% SVI,310.53320929835024
2020-07-31,10-15% SVI,310.6293980717615
2020-07-31,15-20% SVI,310.4660386650728
2020-07-31,> 20% SVI,310.89581411474336
2020-08-31,00-05% SVI,310.4250576406352
2020-08-31,05-10% SVI,310.91655773919024
2020-08-31,10-15% SVI,311.19893102627475
2020-08-31,15-20% SVI,311.18492594320804
2020-08-31,> 20% SVI,311.38042885910716
2020-09-30,00-05% SVI,305.99614083616376
2020-09-30,05-10% SVI,306.7507786890321
2020-09-30,10-15% SVI,307.28944020131394
2020-09-30,15-20% SVI,307.23189423082295
2020-09-30,> 20% SVI,307.35545024251735
2020-10-31,00-05% SVI,301.55208541415607
2020-10-31,05-10% SVI,301.9548871017587
2020-10-31,10-15% SVI,302.27613436020386
2020-10-31,15-20% SVI,302.17344137778855
2020-10-31,> 20% SVI,302.1843333713024
2020-11-30,00-05% SVI,297.2594484660419
2020-11-30,05-10% SVI,297.59301565305645
2020-11-30,10-15% SVI,297.7912786157519
2020-11-30,15-20% SVI,297.7558161055183
2020-11-30,> 20% SVI,297.851823597958
2020-12-31,00-05% SVI,292.7692855341227
2020-12-31,05-10% SVI,293.11836727534876
2020-12-31,10-15% SVI,293.20058051502923
2020-12-31,15-20% SVI,293.217850925676
2020-12-31,> 20% SVI,293.2617834322364
