Date,SVI %,NDVI
2020-01-31,00-05% SVI,0.41501173099933597
2020-01-31,05-10% SVI,0.3988814668655843
2020-01-31,10-15% SVI,0.37893421866855376
2020-01-31,15-20% SVI,0.3738311121152541
2020-01-31,> 20% SVI,0.3592779181377851
2020-02-29,00-05% SVI,0.41986000174883276
2020-02-29,05-10% SVI,0.40869902201259256
2020-02-29,10-15% SVI,0.390692261739104
2020-02-29,15-20% SVI,0.386117072232104
2020-02-29,> 20% SVI,0.37146565423555644
2020-03-31,00-05% SVI,0.456945102518184
2020-03-31,05-10% SVI,0.444271654970381
2020-03-31,10-15% SVI,0.42663799435588384
2020-03-31,15-20% SVI,0.42424741357899937
2020-03-31,> 20% SVI,0.41072483010625693
2020-04-30,00-05% SVI,0.5162734522278414
2020-04-30,05-10% SVI,0.4990720629536056
2020-04-30,10-15% SVI,0.4798718652608586
2020-04-30,15-20% SVI,0.4772952988470248
2020-04-30,> 20% SVI,0.45613471459204513
2020-05-31,00-05% SVI,0.5126087142249333
2020-05-31,05-10% SVI,0.4932963571313135
2020-05-31,10-15% SVI,0.47437364366145274
2020-05-31,15-20% SVI,0.4711993361523358
2020-05-31,> 20% SVI,0.45391105837614093
2020-06-30,00-05% SVI,0.4783782407469279
2020-06-30,05-10% SVI,0.4652934033391365
2020-06-30,10-15% SVI,0.4486449672474213
2020-06-30,15-20% SVI,0.4447891063755398
2020-06-30,> 20% SVI,0.4223545852929011
2020-07-31,00-05% SVI,0.487365425234431
2020-07-31,05-10% SVI,0.4770400008941826
2020-07-31,10-15% SVI,0.45503625816472304
2020-07-31,15-20% SVI,0.45019228292711694
2020-07-31,> 20% SVI,0.4358666572484279
2020-08-31,00-05% SVI,0.4781924961339842
2020-08-31,05-10% SVI,0.4609377189617846
2020-08-31,10-15% SVI,0.44253325136400157
2020-08-31,15-20% SVI,0.4398660107796394
2020-08-31,> 20% SVI,0.4210244763252393
2020-09-30,00-05% SVI,0.49406732286096955
2020-09-30,05-10% SVI,0.4765384903021557
2020-09-30,10-15% SVI,0.4586271069948903
2020-09-30,15-20% SVI,0.45654021715564186
2020-09-30,> 20% SVI,0.4349923321030409
2020-10-31,00-05% SVI,0.46307010074761523
2020-10-31,05-10% SVI,0.4471233086466815
2020-10-31,10-15% SVI,0.42299364522673977
2020-10-31,15-20% SVI,0.41778654442166474
2020-10-31,> 20% SVI,0.40147977990856987
2020-11-30,00-05% SVI,0.47976611616627424
2020-11-30,05-10% SVI,0.4531162901203358
2020-11-30,10-15% SVI,0.4321839015299201
2020-11-30,15-20% SVI,0.42959728533916053
2020-11-30,> 20% SVI,0.4154839400546138
2020-12-31,00-05% SVI,0.42069005635612183
2020-12-31,05-10% SVI,0.3954256320888445
2020-12-31,10-15% SVI,0.375611414153747
2020-12-31,15-20% SVI,0.37061469692366716
2020-12-31,> 20% SVI,0.35886353963527706
