AOD,Chlorophyll-a
0.53313724,0.17458275
0.280566677,0.15003759
0.271169339,0.116102055
0.360257556,0.103017166
0.473324383,0.09870502
0.395880784,0.100266196
0.407023859,0.106715776
0.295758595,0.12622036
0.318332927,0.13530734
0.250462742,0.16163659
0.253420268,0.17192988
0.228004369,0.18884012
0.280075171,0.18461822
0.228301788,0.1527868
0.617607952,0.11547966
0.333672887,0.118164204
0.285571606,0.10584712
0.517207993,0.10515907
0.426278793,0.10226543
0.316822793,0.11575841
0.247549161,0.12514761
0.213474112,0.15341797
0.231748005,0.1679884
0.326693296,0.17522496
0.473535729,0.1480452
0.322326582,0.1336752
0.442061469,0.11352022
0.358422814,0.10856165
0.49297896,0.104858786
0.475013458,0.10235548
0.406585965,0.11399727
0.293029886,0.12062398
0.254277478,0.13362911
0.232439139,0.16431315
0.296337214,0.18492666
0.286410311,0.17828
0.326271613,0.16959724
0.424677604,0.10504849
0.362906485,0.11862152
0.47839724,0.099703185
0.361203944,0.10172034
0.418558033,0.09253615
0.34443299,0.09411608
0.297801058,0.12058933
0.217556642,0.11849555
0.285685834,0.1411156
0.261173996,0.14136209
0.306219384,0.16332266
0.308819943,0.16827245
0.321752561,0.12030447
0.277051249,0.109681375
0.349778679,0.113793254
0.425464007,0.09466064
0.440735445,0.10834671
0.417310678,0.09691092
0.259928877,0.14741562
0.259843308,0.17264238
0.215193394,0.14157867
0.262441779,0.15203875
0.20370677,0.1603287
0.306710436,0.13880791
0.255251886,0.1287718
0.534182757,0.097831756
0.46290861,0.09854543
0.571139987,0.09936016
0.480909463,0.103422396
0.45096741,0.12432778
0.329070637,0.11475905
0.226122517,0.115790896
0.222755534,0.14672841
0.251342188,0.16158609
0.188382075,0.15398832
0.274222176,0.15388964
0.315340382,0.1296466
0.295125111,0.10208817
0.399001388,0.104485035
0.386129426,0.09354323
0.387204695,0.09520998
0.380470769,0.12668405
0.369902123,0.12333664
0.244939385,0.12689488
0.276992924,0.15387389
0.264064335,0.16777472
0.394786229,0.20394835
0.398645076,0.17248835
0.484365697,0.13578384
0.590738693,0.114009164
0.380160219,0.13228038
0.528519589,0.10465398
0.483772058,0.10319323
0.34704808,0.11651921
0.279650777,0.11367456
0.230190115,0.13875219
0.201867569,0.14258863
0.162785783,0.16722013
0.285162086,0.1745517
0.341513173,0.1559174
0.354229351,0.13187326
0.253327228,0.11691445
0.320471737,0.1048695
0.368906959,0.108707726
0.493433002,0.107093066
0.393835386,0.113870926
0.32708824,0.12351998
0.248144701,0.1459264
0.22629195,0.1382345
0.217874391,0.15032275
0.325825888,0.1554957
0.295334322,0.18248536
0.34217388,0.12549952
0.309504021,0.103794575
0.35473008,0.102081984
0.349174413,0.114324816
0.532009183,0.10713944
0.426266617,0.10947085
0.287380253,0.110797584
0.25650434,0.14017703
0.238833669,0.14200656
0.227622997,0.14021724
0.401386827,0.18409972
0.479427941,0.15954159
0.288297499,0.14351784
0.385860419,0.13503927
0.504875753,0.1536943
0.486353603,0.14287671
0.573472264,0.11378485
0.332514167,0.12121237
0.278415628,0.13822494
0.224389645,0.122278586
0.218210729,0.16755287
0.287022759,0.20077531
0.408635709,0.19488078
0.31500305,0.21038507
0.53455671,0.14841746
0.300648796,0.13803464
0.311421355,0.12640652
0.365603639,0.12506431
0.433027155,0.11360347
0.370759486,0.1272121
0.369464211,0.13598387
0.262709186,0.16647846
0.230140616,0.34478587
0.22390073,0.24909042
0.434274849,0.19173898
0.283050384,0.24265994
0.355483979,0.21050811
0.397576643,0.17429067
0.443528909,0.12015131
0.49660658,0.11022673
0.400540136,0.11511996
0.408820894,0.12522964
0.293787349,0.1275635
0.296085482,0.15554322
0.402941751,0.14792329
0.269370296,0.16983114
0.437529269,0.18959528
0.420893125,0.1555479
0.220119754,0.13981108
0.38731673,0.12722944
0.446712601,0.12945652
0.337154426,0.11565618
0.517020398,0.12054555
0.515770473,0.100464106
0.308350243,0.12684354
0.291509262,0.14829822
0.2628567,0.15265542
0.237089441,0.17538384
0.274016885,0.18712305
0.299031333,0.17557621
0.391808821,0.12423203
0.382164711,0.13729873
0.283817697,0.117110945
0.289070444,0.12495291
0.422949183,0.114214905
0.347142271,0.10914341
0.292456332,0.12448595
0.252316977,0.14186111
0.267571356,0.17513771
0.267166841,0.17760143
0.289683364,0.20340404
0.422320686,0.20189948
0.4287599,0.13753419
0.276904137,0.12457721
0.320357444,0.12583344
0.407602767,0.118646614
0.628228622,0.11675222
0.423215369,0.10577579
0.270391586,0.15372142
0.21311952,0.15393159
0.284630472,0.16695562
0.276973245,0.18753266
0.253461451,0.19194022
0.332290109,0.18744242
0.54099956,0.16219485
0.395475345,0.13974525
0.397590814,0.12671286
0.426892666,0.12765701
0.536955524,0.12893789
0.400369893,0.123849
0.2816231,0.14351854
0.320594104,0.15639791
0.324780322,0.16076902
0.238661002,0.21904004
0.33932407,0.17672794
0.232018738,0.18412116
0.408855154,0.17361526
0.468442502,0.15164384
0.311123682,0.12691727
0.370487457,0.118974075
0.547592176,0.11550581
0.412216798,0.105050325
0.287552561,0.12860261
0.239427405,0.13801807
0.326960899,0.18159083
0.313131974,0.15657216
0.252003705,0.1469062
,
,
,
,
